"TIME","MATURITY","YLD_CURV","GEO","BONDS","Value","Flag and Footnotes"
"2005M09","Maturity: 5 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.59",""
"2005M09","Maturity: 6 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.72",""
"2005M09","Maturity: 7 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.83",""
"2005M09","Maturity: 8 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.94",""
"2005M09","Maturity: 9 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.03",""
"2005M09","Maturity: 10 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.11",""
"2005M10","Maturity: 2 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.45",""
"2005M10","Maturity: 3 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.58",""
"2005M10","Maturity: 4 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.70",""
"2005M10","Maturity: 5 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.82",""
"2005M10","Maturity: 6 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","2.93",""
"2005M10","Maturity: 7 years","Spot rate yield curve","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","AAA-rated euro area central government bonds","3.03",""
